method_id,title,year,publication_status,venue,identifier,task_families,contribution_kinds,model_backbone,objective_loss,protocol_setting,datasets,paper_url,publication_record_url,code_url,code_license_status,code_license_expression,repo_mapping,implementation_maturity,recommendation,blockers,verified_on
pad_ts,"PaD-TS: Population-Aware Diffusion for Time Series Generation",2025,peer_reviewed,AAAI 2025,AAAI-34038,generation,"model;loss;setting",DDPM,"DDPM objective plus population-aware MMD over channel correlations","Sample compared diffusion states at the same timestep",Time-series generation benchmarks,https://ojs.aaai.org/index.php/AAAI/article/view/34038,https://ojs.aaai.org/index.php/AAAI/article/view/34038,https://github.com/wmd3i/PaD-TS,unknown,,,catalog_only,implement_later,"No explicit code license verified; do not copy source",2026-07-16
ma_tsd,"MA-TSD: Moving-Average Diffusion for Time Series",2025,peer_reviewed,ICML 2025,PMLR-v267-wang25dy,"generation;forecasting;super_resolution","model;setting",Non-isotropic diffusion,Diffusion denoising objective,Moving-average forward process,Time-series synthesis and forecasting benchmarks,https://proceedings.mlr.press/v267/wang25dy.html,https://proceedings.mlr.press/v267/wang25dy.html,https://github.com/WillWang1113/Moving-Average-Diffusion,verified,MIT,,catalog_only,implement_later,"Requires a dedicated diffusion runtime rather than an alias of the current CFM path",2026-07-16
dim_ts,"DiM-TS: Diffusion Mamba for Time Series Generation",2026,peer_reviewed,AAAI 2026,AAAI-38649,generation,"model;loss",Mamba diffusion,"DDPM plus FFT reconstruction and channel-correlation MMD",Predict x0 with same-step population comparison,Time-series generation benchmarks,https://ojs.aaai.org/index.php/AAAI/article/view/38649,https://ojs.aaai.org/index.php/AAAI/article/view/38649,https://github.com/yzh8221/DiMTS,unknown,,,catalog_only,implement_later,"Official code contains custom kernels and no verified license",2026-07-16
timeflow,"TimeFlow: SDE Flow Matching for Time Series",2025,submission,ICLR submission,arXiv:2511.07968,"generation;forecasting","model;loss",SDE flow matching,Stochastic flow-matching objective,Research-only pending formal publication,Time-series benchmarks,https://arxiv.org/abs/2511.07968,,https://github.com/PanJingHe/TimeFlow,unknown,,,research_only,needs_evidence,"Preprint/submission and no verified code license",2026-07-16
meanflow,"MeanFlow: One-step Generative Modeling",2025,preprint,arXiv,arXiv:2505.13447,generation,"model;loss;setting",Average-velocity network,"Average-velocity identity with adaptive weighting","Joint logit-normal sampling of r and t",Image-generation benchmarks,https://arxiv.org/abs/2505.13447,,,not_applicable,,,research_only,catalog_only,"Image-centric preprint; requires a faithful JVP or equivalent formulation",2026-07-16
transition_flow_matching,"Transition Flow Matching",2026,preprint,arXiv,arXiv:2603.15689,generation,"model;loss;setting",Transition velocity network,"JVP transition target with weighted MSE","Joint transition-time sampling",Image-generation benchmarks,https://arxiv.org/abs/2603.15689,,,not_applicable,,,research_only,catalog_only,"Preprint and no time-series validation",2026-07-16
euler_mean_flows,"Euler Mean Flows",2026,preprint,arXiv,arXiv:2602.02571,generation,"loss;setting",Mean-flow network,Finite-difference consistency objective,JVP-free Euler consistency sampling,Image-generation benchmarks,https://arxiv.org/abs/2602.02571,,,not_applicable,,,research_only,catalog_only,"Preprint and no PHM or time-series validation",2026-07-16
ot_nfm,"Optimal-Transport Neural Flow Maps",2026,preprint,arXiv,arXiv:2604.06413,generation,"model;loss;sampler",One-step neural flow map,Map regression under consistent OT coupling,Minibatch optimal-transport pairing,Image-generation benchmarks,https://arxiv.org/abs/2604.06413,,,not_applicable,,,research_only,catalog_only,"Preprint and image-centric evidence",2026-07-16
drifting,"Drifting: Distribution Drifting for One-step Generation",2026,preprint,arXiv,arXiv:2602.04770,generation,"model;loss",Distribution-drifting field,"Stop-gradient positive and negative interaction objective",One-step distribution drifting,Image-generation benchmarks,https://arxiv.org/abs/2602.04770,,,not_applicable,,,research_only,catalog_only,"Preprint and image-centric evidence",2026-07-16
w_flow,"W-Flow",2026,preprint,arXiv,arXiv:2605.11755,generation,"model;loss",One-step flow model,Wasserstein-inspired flow objective,One-step generation,Image-generation benchmarks,https://arxiv.org/abs/2605.11755,,,not_applicable,,,research_only,catalog_only,"Preprint and image-centric evidence",2026-07-16
equivariant_latent_flow,"Equivariance-Aware Latent Flow Matching for Time Series",2026,accepted,ICASSP 2026,arXiv:2601.22848,generation,"model;loss",VAE plus latent CFM,"Reconstruction plus KL plus adversarial plus equivariance plus latent CFM",Latent-space generation,Time-series generation benchmarks,https://arxiv.org/abs/2601.22848,https://arxiv.org/abs/2601.22848,,not_applicable,,,catalog_only,implement_later,"Formal proceedings record and official implementation still need verification",2026-07-16
mantis_v1,"Mantis: Lightweight Foundation Model for Time Series Classification",2026,accepted,ICML 2026,"PMLR 306; arXiv:2502.15637","classification;pretraining",model,Transformer with token generator,Contrastive pretraining,Frozen feature extraction with channel-wise encoding,UCR UEA HAR and EEG collections,https://arxiv.org/abs/2502.15637,https://arxiv.org/abs/2502.15637,https://github.com/vfeofanov/mantis,conflicting,"Apache-2.0 repository LICENSE; MIT package metadata",src/model_factory/FoundationModel/MantisV1.py,experimental_candidate,implement_now,"Use as an optional dependency only; never vendor source; local checkpoint required",2026-07-16
mantis_v2,"MantisV2: Closing the Zero-Shot Gap in Time Series Classification",2026,preprint,arXiv,arXiv:2602.17868,"classification;pretraining",model,Time-series foundation encoder,Contrastive synthetic pretraining,Zero-shot and test-time feature strategies,UCR UEA HAR and EEG collections,https://arxiv.org/abs/2602.17868,,https://github.com/vfeofanov/mantis,conflicting,"Apache-2.0 repository LICENSE; MIT package metadata",src/model_factory/FoundationModel/MantisV2.py,research_only,needs_evidence,"Preprint and conflicting upstream license metadata; local frozen adapter is contract-tested without a real checkpoint",2026-07-16
sundial,"Sundial: A Family of Highly Capable Time Series Foundation Models",2025,peer_reviewed,ICML 2025,PMLR-v267-liu25be,"forecasting;generation","model;loss",Decoder-only time-series foundation model,TimeFlow loss,Large-scale probabilistic forecasting,TimeBench and forecasting benchmarks,https://proceedings.mlr.press/v267/liu25be.html,https://proceedings.mlr.press/v267/liu25be.html,,not_applicable,,,catalog_only,implement_later,"Large pretrained checkpoints are outside the current dependency and data budget",2026-07-16
symtime,"SymTime: A Symbolic Time Series Foundation Model",2025,peer_reviewed,NeurIPS 2025,NeurIPS-0f45ce821121c459,"classification;forecasting;imputation;anomaly_detection;pretraining",model,Multi-task symbolic-pretrained model,Multi-task synthetic pretraining,Symbolic synthetic data across tasks,Multiple time-series task benchmarks,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0f45ce821121c459398fd03a0ecc6b60-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0f45ce821121c459398fd03a0ecc6b60-Abstract-Conference.html,,not_applicable,,,catalog_only,implement_later,"Broad task surface requires a separate foundation-model integration design",2026-07-16
sempo,"SEMPO: Lightweight Foundation Models for Time Series Forecasting",2025,peer_reviewed,NeurIPS 2025,NeurIPS-ecfb69ce6be017de,"forecasting;few_shot","model;setting",Spectral decomposition plus mixture-of-prompts Transformer,Forecasting objective,Zero-shot and few-shot forecasting,Forecasting benchmarks,https://papers.nips.cc/paper_files/paper/2025/hash/ecfb69ce6be017deb5a926c2718f6bc1-Abstract-Conference.html,https://papers.nips.cc/paper_files/paper/2025/hash/ecfb69ce6be017deb5a926c2718f6bc1-Abstract-Conference.html,https://github.com/mala-lab/SEMPO,unknown,,,catalog_only,implement_later,"Code license has not been verified",2026-07-16
timemixer_pp,"TimeMixer++: A General Time Series Pattern Machine",2025,peer_reviewed,ICLR 2025,ICLR-2b187165e28fdfdc,"forecasting;classification;anomaly_detection;imputation;few_shot","model;setting",Multi-resolution mixing model,Task-specific objectives,Eight-task evaluation including few-shot and zero-shot,Multiple time-series benchmarks,https://proceedings.iclr.cc/paper_files/paper/2025/hash/2b187165e28fdfdc0ffb34d1bfff2b0c-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/hash/2b187165e28fdfdc0ffb34d1bfff2b0c-Abstract-Conference.html,https://github.com/kwuking/TimeMixer,verified,Apache-2.0,,catalog_only,needs_evidence,"Linked repository does not currently provide a clearly isolated TimeMixer++ implementation",2026-07-16
ppt_time_order,"PPT: Patch Order-Aware Pretext Task",2025,peer_reviewed,ICLR 2025,ICLR-7ffafadc6100ef20,"classification;pretraining","loss;setting",Patch encoder plus one-layer unidirectional LSTM,"Order-consistency BCE plus original/weak/strong InfoNCE","Seeded weak and strong patch permutation banks",Time-series classification benchmarks,https://proceedings.iclr.cc/paper_files/paper/2025/file/7ffafadc6100ef20a85d449bb05291a9-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/hash/7ffafadc6100ef20a85d449bb05291a9-Abstract-Conference.html,https://github.com/eai-lab/PPT,unknown,,"src/task_factory/Components/ppt_time_order.py; src/task_factory/task/pretrain/ppt_order.py",experimental_candidate,implement_now,"No explicit code license observed; clean-room time/channel implementation has synthetic contract tests but no real fixed-channel benchmark evidence",2026-07-16
fat,"FAT: Frequency-Aware Pretraining for Time Series",2025,peer_reviewed,KDD 2025,doi:10.1145/3711896.3736952,"classification;pretraining","model;loss",Frequency-aware encoder,Frequency-aware pretraining objective,Frequency-sensitive augmentation and pretraining,Time-series classification benchmarks,https://doi.org/10.1145/3711896.3736952,https://doi.org/10.1145/3711896.3736952,https://github.com/FICLAB/FAT,verified,CC-BY-NC-SA-4.0,,catalog_only,exclude_license,"Non-commercial share-alike code is incompatible with vendoring into this Apache-2.0 repository",2026-07-16
unishape,"UniShape: A Unified Shape-Aware Foundation Model for Time Series Classification",2026,peer_reviewed,AAAI 2026,AAAI-39574,"classification;pretraining",model,Shape adapter plus prototype pretraining,Prototype-based shape-aware objective,Zero-shot and fine-tuning evaluation,UCR classification benchmarks,https://ojs.aaai.org/index.php/AAAI/article/view/39574,https://ojs.aaai.org/index.php/AAAI/article/view/39574,https://github.com/ZLiu21/UniShape,unknown,,,catalog_only,implement_later,"Code license has not been verified",2026-07-16
time_o1,"Time-o1: Time-Series Forecasting Needs Transformed Label Alignment",2025,peer_reviewed,NeurIPS 2025,NeurIPS-0cd62dea69635f4c,"forecasting","loss;setting",Forecasting backbone,Transformed label-alignment objective,Forecasting label-space alignment,Forecasting benchmarks,https://papers.neurips.cc/paper_files/paper/2025/hash/0cd62dea69635f4c5b569848267fe5a8-Abstract-Conference.html,https://papers.neurips.cc/paper_files/paper/2025/hash/0cd62dea69635f4c5b569848267fe5a8-Abstract-Conference.html,,not_applicable,,,catalog_only,implement_later,"Requires exact objective extraction and compatibility review with prediction tasks",2026-07-16
fic_tsc,"FIC-TSC: Learning Time Series Classification with Fisher Information Constraint",2025,peer_reviewed,ICML 2025,PMLR-v267-chen25cq,"classification;domain_generalization","model;loss",Classification encoder,Fisher information constraint,Classification under domain shift,Time-series classification benchmarks,https://proceedings.mlr.press/v267/chen25cq.html,https://proceedings.mlr.press/v267/chen25cq.html,,not_applicable,,src/task_factory/Components/gradient_constraints.py,experimental_candidate,implement_now,"Task-level CE gradient constraint is contract-tested; controlled grouped PHM comparisons remain pending",2026-07-16
unifault,"UniFault: A Unified Fault Diagnosis Foundation Model",2025,preprint,arXiv,arXiv:2504.01373,"classification;domain_generalization;pretraining",model,Transformer with channel unification,Contrastive self-supervised pretraining,Cross-domain temporal fusion,Industrial fault-diagnosis datasets,https://arxiv.org/abs/2504.01373,,,not_applicable,,,research_only,needs_evidence,"No author-maintained official implementation or formal publication record verified",2026-07-16
farnet,"FARNet: Fourier Augmentation and Representation Learning for Fault Diagnosis",2025,preprint,arXiv,arXiv:2502.00545,"classification;domain_generalization","model;loss;setting",Fault-diagnosis encoder,"Augmentation plus classification plus batch-hard manifold triplet loss",Fourier-domain augmentation and PK batching,Fault-diagnosis datasets,https://arxiv.org/abs/2502.00545,,https://github.com/HRT00/FAR-Net,unknown,,,research_only,needs_evidence,"Preprint and no verified code license",2026-07-16
dg_softmax,"DG-Softmax for Fault Diagnosis Domain Generalization",2025,peer_reviewed,Reliability Engineering and System Safety 2025,doi:10.1016/j.ress.2025.111057,"classification;domain_generalization","loss;setting",Classification backbone,Adaptive class-level decision-margin softmax,Two-stage optimization,Fault-diagnosis datasets,https://qinyi-team.github.io/2025/03/DG-Softmax/,https://doi.org/10.1016/j.ress.2025.111057,https://github.com/QinYi-team/DG-Softmax,unknown,,,catalog_only,implement_later,"Official repository is notebook-only and has no verified license",2026-07-16
tsl_transformer,"TSL-Transformer for Bearing Fault Diagnosis",2025,peer_reviewed,Scientific Reports 2025,doi:10.1038/s41598-025-96285-z,classification,model,Transformer plus parallel LSTM,Cross-entropy classification,Single-dataset CWRU evaluation,CWRU,https://www.nature.com/articles/s41598-025-96285-z,https://www.nature.com/articles/s41598-025-96285-z,,not_applicable,,src/model_factory/Transformer/TSLTransformer.py,experimental_candidate,implement_now,"Clean-room model is contract-tested; paper's sample-level split is not adopted and grouped PHM evidence remains pending",2026-07-16
cure,"CURE: Context-Driven Diffusion for Single-Domain Time Series Classification",2026,accepted,ICML 2026,OpenReview:BgCTOYTtqi,"classification;domain_generalization","model;setting",Context-driven diffusion classifier,Diffusion-based context objective,Single-domain generalization,Time-series classification benchmarks,https://openreview.net/forum?id=BgCTOYTtqi,https://openreview.net/forum?id=BgCTOYTtqi,,not_applicable,,,catalog_only,implement_later,"Heavy integration and no current diffusion-classification runtime",2026-07-16
sdalr,"SDALR: Source-Free Domain Adaptation for Fault Diagnosis",2025,preprint,arXiv,arXiv:2503.08749,"classification;domain_adaptation","model;loss",Source-free adaptation network,Adaptation and pseudo-label objectives,Target adaptation without source data,Fault-diagnosis datasets,https://arxiv.org/abs/2503.08749,,https://github.com/BdLab405/SDALR,unknown,,,research_only,catalog_only,"Source-free adaptation is outside the current domain-generalization task contract; no verified license",2026-07-16
phm_vibench_2025,"PHM-Vibench: A Comprehensive Benchmark for Vibration-Based PHM",2025,peer_reviewed,PHM Asia-Pacific 2025,PHMAP-4303,"benchmark;classification;domain_generalization;few_shot","benchmark;setting",PHM-Vibench,Task-specific benchmark objectives,Configuration-first vibration benchmark,Industrial vibration datasets,https://papers.phmsociety.org/index.php/phmap/article/view/4303,https://papers.phmsociety.org/index.php/phmap/article/view/4303,https://github.com/PHMbench/PHM-Vibench,verified,Apache-2.0,README.md,exploratory_runtime,implement_now,"Repository release support remains narrower than the research inventory",2026-07-16
realistic_bearing_evaluation,"Towards a More Realistic Evaluation of Bearing Fault Diagnosis",2026,peer_reviewed,Mechanical Systems and Signal Processing 2026,doi:10.1016/j.ymssp.2026.114640,"classification;protocol","setting;metric",Model-agnostic protocol,"Accuracy plus AUROC where label semantics permit","Split by physical bearing identity before windowing",Bearing fault-diagnosis datasets,https://www.sciencedirect.com/science/article/pii/S0888327026007971,https://doi.org/10.1016/j.ymssp.2026.114640,https://github.com/gama-ufsc/bearing-data-leakage,unknown,,src/data_factory/splitting.py,experimental_candidate,implement_now,"Code license has not been verified; implement protocol independently",2026-07-16
leakage_safe_benchmarking,"Leakage-Safe Reproducible Benchmarking for PHM",2026,peer_reviewed,PHM Europe 2026,doi:10.36001/phme.2026.v9i1.4924,"benchmark;classification;protocol","benchmark;setting",Model-agnostic protocol,Repeated-run reporting,"Group-disjoint splits with seed and provenance manifests",PHM benchmark datasets,https://papers.phmsociety.org/index.php/phme/article/view/4924,https://doi.org/10.36001/phme.2026.v9i1.4924,,not_applicable,,src/data_factory/splitting.py,experimental_candidate,implement_now,"Requires repository-level split manifests and repeated-run evidence before benchmark promotion",2026-07-16
