id,year,title,authors,venue,url,doi,task_family,method_family,repo_surface,support_status,notes
PHM2025-001,2025,Enhanced Mamba model with multi-head attention mechanism and learnable scaling parameters for remaining useful life prediction,Liu et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-91815-1,10.1038/s41598-025-91815-1,rul,mamba,model_factory.Transformer,candidate-baseline,State-space sequence model candidate for RUL configs
PHM2025-002,2025,A Comparative Study of Deep Learning Model Based Equipment Fault Diagnosis and Prognosis,Qiao et al.,International Journal of Prognostics and Health Management,https://papers.phmsociety.org/index.php/ijphm/article/view/4254,10.36001/ijphm.2025.v16i1.4254,fault_diagnosis,benchmark_review,docs.BASELINE_MAPPING,literature-only,Survey/comparative baseline guidance
PHM2025-003,2025,A generalized diffusion model for remaining useful life prediction with uncertainty,Wen et al.,Complex & Intelligent Systems,https://link.springer.com/article/10.1007/s40747-024-01773-w,10.1007/s40747-024-01773-w,rul,diffusion,unsupported.runtime,candidate-baseline,Diffusion uncertainty modeling is not implemented
PHM2025-004,2025,Hybrid Gaussian process regression with temporal feature extraction for partially interpretable remaining useful life interval prediction in Aeroengine prognostics,Niu et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-88703-z,10.1038/s41598-025-88703-z,rul,gaussian_process,unsupported.runtime,literature-only,Interval prediction candidate outside current trainer tasks
PHM2025-005,2025,Remaining useful life prediction of lithium-ion batteries via spatial attention TLSTM and dilated CNN with evolutionary optimization,Chen and Fang,Scientific Reports,https://www.nature.com/articles/s41598-025-17610-0,10.1038/s41598-025-17610-0,rul,rnn,model_factory.RNN,represented,TLSTM/CNN maps to existing RNN/CNN families
PHM2025-006,2025,An adaptive dual distillation framework for efficient remaining useful life prediction,Cheng et al.,Complex & Intelligent Systems,https://link.springer.com/article/10.1007/s40747-025-01886-w,10.1007/s40747-025-01886-w,rul,distillation,unsupported.runtime,candidate-baseline,Knowledge distillation candidate; no generic distillation trainer
PHM2025-007,2025,Leveraging Pre-Trained GPT Models for Equipment Remaining Useful Life Prognostics,Cui et al.,Electronics,https://www.mdpi.com/2079-9292/14/7/1265,10.3390/electronics14071265,rul,llm,unsupported.runtime,literature-only,LLM-based RUL is not a maintained runtime path
PHM2025-008,2025,Deep multiscale feature fusion network with dual attention for rolling bearing remaining useful life prediction,Yang et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-97380-x,10.1038/s41598-025-97380-x,rul,attention,model_factory.CNN,represented,Multi-scale CNN/attention maps to existing model families
PHM2025-009,2025,Analytical Health Indices: Towards Reliability-Informed Deep Learning for PHM,Dersin et al.,International Journal of Prognostics and Health Management,https://www.papers.phmsociety.org/index.php/ijphm/article/view/4262,10.36001/ijphm.2025.v16i2.4262,health_indicator,physics_informed,unsupported.runtime,literature-only,Health-index modeling informs future regression/prognostics task
PHM2025-010,2025,Multi-Condition Remaining Useful Life Prediction Based on Mixture of Encoders,Liu et al.,Entropy,https://www.mdpi.com/1099-4300/27/1/79,10.3390/e27010079,rul,transformer,model_factory.Transformer,candidate-baseline,MoE/Transformer RUL candidate
PHM2025-011,2025,Large Language Model-Based Autonomous Agent for Prognostics and Health Management,Cha et al.,Machines,https://www.mdpi.com/2075-1702/13/9/831,10.3390/machines13090831,phm_agent,llm,unsupported.runtime,literature-only,Agent workflow reference only
PHM2025-012,2025,Using Time Series Foundation Models for Few-Shot Remaining Useful Life Prediction of Aircraft Engines,Dinten and Zorrilla,Computer Modeling in Engineering & Sciences,https://www.sciencedirect.com/org/science/article/pii/S1526149225002085,10.32604/cmes.2025.065461,rul,foundation_model,unsupported.runtime,candidate-baseline,Foundation-model embeddings candidate for future baseline
PHM2025-013,2025,PHM-GPT: A Large Language Model for Prognostics and Health Management,Ren et al.,Engineering,https://www.sciencedirect.com/science/article/pii/S2095809925006745,10.1016/j.eng.2025.11.001,phm_agent,llm,unsupported.runtime,literature-only,PHM LLM reference not a runtime model
PHM2025-014,2025,CONELPABO: composite networks learning via parallel Bayesian optimization to predict remaining useful life in predictive maintenance,Solis-Martin and Galan-Paez,Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-025-10995-z,10.1007/s00521-025-10995-z,rul,nas,unsupported.runtime,candidate-baseline,Architecture search candidate outside current runner
PHM2025-015,2025,Constraint-Guided Learning of Data-driven Health Indicator Models,Tefera et al.,International Journal of Prognostics and Health Management,https://papers.phmsociety.org/index.php/ijphm/article/view/4268,10.36001/ijphm.2025.v16i2.4268,health_indicator,physics_informed,unsupported.runtime,literature-only,Constraint-guided HI reference
PHM2025-016,2025,difLIME: Enhancing Explainability with a Diffusion-Based LIME Algorithm for Predictive Maintenance,Solis-Martin et al.,International Journal of Prognostics and Health Management,https://papers.phmsociety.org/index.php/ijphm/article/view/4166,10.36001/ijphm.2025.v16i3.4166,explainability,diffusion,src.explain_factory,candidate-baseline,Explainability candidate for UXFD evidence
PHM2025-017,2026,Bearing fault diagnosis based on multi-branch enhanced GhostNet with adaptive focal loss,Zhang et al.,Scientific Reports,https://www.nature.com/articles/s41598-026-49801-8,10.1038/s41598-026-49801-8,fault_diagnosis,cnn,model_factory.CNN,represented,Lightweight CNN and focal loss candidate
PHM2025-018,2025,Bearing fault detection with lightweight feature extraction mechanism based on smoothed dilated convolution,Pang and Li,Scientific Reports,https://www.nature.com/articles/s41598-025-31960-9,10.1038/s41598-025-31960-9,fault_diagnosis,cnn,model_factory.CNN,represented,Lightweight dilated convolution maps to CNN family
PHM2025-019,2025,Fault analysis on deep groove ball bearing using ResNet50 and AlexNet50 algorithms,Jaiswal et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-97410-8,10.1038/s41598-025-97410-8,fault_diagnosis,cnn,model_factory.X_model,represented,ResNet-style X_model baseline family
PHM2025-020,2025,Multi-fault diagnosis and damage assessment of rolling bearings based on IDBO-VMD and CNN-BiLSTM,Chen et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-17177-w,10.1038/s41598-025-17177-w,fault_diagnosis,signal_processing,model_factory.CNN,candidate-baseline,VMD plus CNN/RNN candidate
PHM2025-021,2025,Multi scale convolutional neural network combining BiLSTM and attention mechanism for bearing fault diagnosis under multiple working conditions,Zhao et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-96137-w,10.1038/s41598-025-96137-w,fault_diagnosis,attention,model_factory.CNN,represented,Multi-condition classification maps to DG/CDDG surfaces
PHM2025-022,2025,Rolling bearing fault diagnosis in noisy environments using Channel-Time parallel attention networks,Li et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-22683-y,10.1038/s41598-025-22683-y,fault_diagnosis,attention,model_factory.CNN,represented,Noise-robust attention candidate
PHM2025-023,2026,A fault diagnosis method for complex systems based on hierarchical belief rule base with One-vs-Rest strategy,Wu et al.,Scientific Reports,https://www.nature.com/articles/s41598-026-46214-5,10.1038/s41598-026-46214-5,fault_diagnosis,rule_based,unsupported.runtime,literature-only,Rule-base diagnosis is outside current model factories
PHM2025-024,2025,Fault detection of taper roller bearings using tunable Q-factor wavelet transform and fault classification using long-short-term memory network,Anwarsha and Babu,Scientific Reports,https://www.nature.com/articles/s41598-025-93514-3,10.1038/s41598-025-93514-3,fault_diagnosis,signal_processing,model_factory.RNN,candidate-baseline,Wavelet plus LSTM maps partially to RNN
PHM2025-025,2025,Power transformer fault diagnosis method based on multi source signal fusion and fast spectral correlation,Guan et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-91428-8,10.1038/s41598-025-91428-8,fault_diagnosis,signal_processing,task_factory.DG,candidate-baseline,Multi-source signal fusion candidate
PHM2025-026,2025,Rolling bearing fault diagnosis under small sample conditions based on WDCNN-BiLSTM Siamese network,Bian et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-12370-3,10.1038/s41598-025-12370-3,few_shot,few_shot,task_factory.FS,represented,Siamese few-shot maps to FS task/loss families
PHM2025-027,2025,Bearing fault diagnosis method based on WSST and ISSA-MCNN-BIGRU,Dong et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-25469-4,10.1038/s41598-025-25469-4,fault_diagnosis,signal_processing,model_factory.CNN,candidate-baseline,WSST and MCNN/BiGRU candidate
PHM2025-028,2025,Lightweight bearing fault diagnosis via decoupled distillation and low rank adaptation,Petrosian et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-06734-y,10.1038/s41598-025-06734-y,fault_diagnosis,distillation,unsupported.runtime,candidate-baseline,Distillation/LoRA not in generic trainer
PHM2025-029,2025,A cycle-aware and physics-informed framework for battery remaining useful life prediction,Chen et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-28505-5,10.1038/s41598-025-28505-5,rul,physics_informed,model_factory.X_model,candidate-baseline,Physics-informed RUL candidate
PHM2025-030,2026,Prediction of remaining useful life for electronic equipment based on online PINN,Han and Mo,Scientific Reports,https://www.nature.com/articles/s41598-025-32497-7,10.1038/s41598-025-32497-7,rul,physics_informed,model_factory.X_model,candidate-baseline,PINN-style RUL candidate
PHM2025-031,2025,Remaining useful life prediction of lithium batteries based on jump connection multi-scale CNN,Sun et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-08619-6,10.1038/s41598-025-08619-6,rul,cnn,model_factory.CNN,represented,Multi-scale CNN maps to existing family
PHM2025-032,2026,Enhanced remaining useful life prediction of lithium-ion battery based on a dual attention hybrid data-driven method,Shi et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-30849-x,10.1038/s41598-025-30849-x,rul,attention,model_factory.CNN,represented,Dual attention candidate
PHM2025-033,2026,A novel dual-dimensional contrastive self-supervised learning-based framework for rolling bearing remaining useful life prediction,Shen et al.,Scientific Reports,https://www.nature.com/articles/s41598-026-38417-7,10.1038/s41598-026-38417-7,rul,contrastive,Components.contrastive_losses,represented,Contrastive SSL maps to existing contrastive losses
PHM2025-034,2025,Nonlinear degradation modeling and remaining useful life prediction for electric drive system with multiple failure modes,Wang et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-22866-7,10.1038/s41598-025-22866-7,rul,uncertainty,unsupported.runtime,literature-only,Multi-failure degradation modeling reference
PHM2025-035,2025,Degradation modeling and remaining useful life prediction for electronic device under multiple stress influences,Li et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-03786-y,10.1038/s41598-025-03786-y,rul,uncertainty,unsupported.runtime,literature-only,Stress-dependent degradation modeling reference
PHM2025-036,2025,Hybrid optimized remaining useful life prediction framework for lithium-ion batteries with limited data samples,Ibrahim et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-26743-1,10.1038/s41598-025-26743-1,rul,optimization,unsupported.runtime,candidate-baseline,Optimization-heavy battery RUL candidate
PHM2025-037,2025,A hybrid approach for lithium-ion battery remaining useful life prediction using signal decomposition and machine learning,Fan et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-92262-8,10.1038/s41598-025-92262-8,rul,signal_processing,unsupported.runtime,candidate-baseline,CEEMDAN/SVR/LSTM candidate
PHM2025-038,2025,Rolling bearing remaining useful life prediction using deep learning based on high-quality representation,Wang et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-93165-4,10.1038/s41598-025-93165-4,rul,representation_learning,model_factory.CNN,candidate-baseline,Representation-learning RUL candidate
PHM2025-039,2025,Attention-Gaussian-LSTM-Wiener based remaining useful life prediction method,Cao et al.,Autonomous Intelligent Systems,https://link.springer.com/article/10.1007/s43684-025-00105-0,10.1007/s43684-025-00105-0,rul,rnn,model_factory.RNN,candidate-baseline,LSTM-Wiener hybrid candidate
PHM2025-040,2025,Efficient Architecture Search for Remaining Useful Life Prediction Using Rainflow Counting Features,Mao et al.,Journal of Systems Science and Complexity,https://link.springer.com/article/10.1007/s11424-025-3210-z,10.1007/s11424-025-3210-z,rul,nas,unsupported.runtime,candidate-baseline,NAS RUL candidate
PHM2025-041,2025,Few-shot cross-domain fault diagnosis via adversarial meta-learning,Guo et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-25854-z,10.1038/s41598-025-25854-z,few_shot,domain_adaptation,task_factory.GFS,represented,Cross-domain few-shot maps to GFS/FS task surfaces
PHM2025-042,2025,Bearing fault diagnosis based on cross image multi-attention mechanism,Liu et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-07562-w,10.1038/s41598-025-07562-w,fault_diagnosis,attention,model_factory.X_model,represented,Attention ResNet-style candidate
PHM2025-043,2025,A novel temporal classification prototype network for few-shot bearing fault detection,Liu et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-98963-4,10.1038/s41598-025-98963-4,few_shot,few_shot,task_factory.FS,represented,Prototype network maps to FS/prototypical loss
PHM2025-044,2025,A bearing fault diagnosis method for hydrodynamic transmissions integrating few-shot learning and transfer learning,Sun et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-04543-x,10.1038/s41598-025-04543-x,few_shot,domain_adaptation,task_factory.FS,represented,Few-shot plus transfer candidate
PHM2025-045,2025,Auto-embedding transformer under multi-source information fusion for few-shot fault diagnosis,Wang et al.,Scientific Reports,https://www.nature.com/articles/s41598-025-10124-9,10.1038/s41598-025-10124-9,few_shot,transformer,model_factory.Transformer,candidate-baseline,Transformer few-shot candidate
