risk_id,severity,category,claim_or_area,evidence,impact,required_action,owner,status,release_blocking
R-001,P1,CI,No active release gate confirmed,.github/workflows_TODO/config_tools_ci.yml is outside active workflow path,PRs can merge without automated config/test checks,Create active scoped CI in PR-4 after baseline commands are proven locally,A6,OPEN,true
R-002,P1,documentation,Public dataset and algorithm counts,README badge says 20+ datasets while highlight says 15+ and registry support is unverified,Users may interpret discovery as validated support,Build dataset/model evidence ledger and align README/AUDITED support docs,A7,OPEN,true
R-003,P1,claims,HSE computational efficiency claim,README states 82% efficiency improvement without baseline claim-evidence record,Release may contain unsubstantiated research claim,Create claim-evidence matrix or remove/qualify claim,A7,OPEN,true
R-004,P1,dependencies,Python/PyTorch/CUDA compatibility,README requirements and dormant CI declarations conflict,Install failures and unsupported platform claims,Define tested matrix and lock/constraints strategy,A6,OPEN,true
R-005,P1,configuration,Silent pipeline fallback,main.py swallows YAML parse errors during pipeline selection and falls back to Pipeline_01_default,Wrong pipeline can run after invalid input,Design explicit error behavior plus compatibility regression test,A1/A4,OPEN,true
R-006,P2,entrypoint,No-argument default differs from offline smoke,main.py defaults to CWRU DG while README recommends dummy smoke,First-run experience may require unavailable data,Decide compatibility policy and document or change with migration note,A0/A1,OPEN,false
R-007,P1,component support,Registry presence lacks test evidence,35 model rows use '/' test status and task rows lack populated test evidence,Unsupported components may be advertised as supported,Add construction and contract tests before support promotion,A2/A3/A6,OPEN,true
R-008,P1,pipelines,Four discovered pipelines lack maintained commands,Pipeline_03 Pipeline_04 Pipeline_05 and Pipeline_ID have no confirmed maintained command in initial ledger,Public capability boundary is unclear,Find configs/assets and execute or mark unsupported,A1,OPEN,true
R-009,P1,platform,Supported OS and hardware are not declared,README provides CUDA version but no tested OS/device matrix,Release cannot define compatibility,Local pack must record OS CPU GPU CUDA and test paths,A6,OPEN,true
R-010,P2,release,Latest tag and protected branch state unknown,Available connector does not expose tag/protection metadata,Release procedure may target wrong baseline,Collect via local git and repository settings screenshot/API,A0,OPEN,false
R-011,P2,branch governance,Five open PRs include stacked and unrelated migration work,Open PRs 39 through 43 have dependency and scope interactions,Merge order errors can contaminate release baseline,Maintain PR dependency table and rebase/retarget only after gates,A0,OPEN,false
R-012,P1,reproducibility,No executed baseline logs in cloud route,GitHub connector has no checked-out runtime and clone attempt is unavailable,Static findings could be mistaken for runtime evidence,Require local raw logs and machine JSON before PR-1,A6,OPEN,true
R-013,P2,samplers,Sampler docs and runtime parameter names may diverge,README examples use num_shots/num_query/num_way while constructor docs use num_support_per_label etc,Parameters may be aliased ignored or shadowed,Trace sampler YAML keys through Get_sampler and add boundary tests,A4,OPEN,false
R-014,P2,packaging,No project packaging metadata confirmed,No pyproject.toml or setup.py found in initial inspection,Editable install/version metadata and tooling are undefined,Decide packaging scope for v0.2.0 and document limitations,A0/A6,OPEN,false
