Task_ID,Task_Name,Task_Factory_Path,Input,Output,Compatible_Model_Families,Priority,Status,Acceptance
T01,classification_supervised,task/DG/classification.py (extend existing),"x,y,file_id",loss + configured classification metrics,CNN/Transformer/MLP/SSM/Foundation embeddings,P0,Existing base; generalize carefully,acc/f1/precision/recall/auroc declaration closure; recording-level split
T02,classification_linear_probe,task/pretrain/linear_probe.py,frozen features + y,probe logits/metrics,MOMENT/Timer/FISHER/TimeDART/TS2Vec,P1,New,frozen backbone verified; no gradient into encoder
T03,representation_pretrain_masked,task/pretrain/masked_reconstruction.py,x + mask,masked reconstruction loss + features,MOMENT/Timer/STDMAE/Ti-MAE/SimMTM,P1,Existing base,mask generated after split; observed/unobserved loss explicit
T04,representation_contrastive,task/pretrain/contrastive.py,two explicit views + identity,contrastive loss + features,TS2Vec/TS-TCC/TF-C/CoST/HSE,P1,Existing HSE-specific; needs generic task,no label leakage; deterministic eval views
T05,forecasting_point,task/forecasting/point.py,context x + horizon + covariates,"point forecast [B,H,C]",TimeMixer/iTransformer/ModernTCN/SparseTSF/etc.,P1,New,MSE/MAE declared; horizon and context explicit
T06,forecasting_probabilistic,task/forecasting/probabilistic.py,context + horizon,distribution/quantiles/samples,Chronos/MOIRAI/Lag-Llama/Toto/DeepAR,P2,New,NLL/CRPS/coverage semantics explicit
T07,zero_shot_forecasting,task/forecasting/zero_shot.py,pretrained model ID + context,forecast without fit,Chronos/TimesFM/MOIRAI/Timer/TTM/Time-MoE,P2,New optional,no training invoked; checkpoint/cache explicit
T08,anomaly_reconstruction,task/anomaly/reconstruction.py,normal/mixed windows,reconstruction + anomaly score,TranAD/USAD/AnomalyBERT/TriP-LLM,P1,New,score and threshold separate; no test-label threshold tuning
T09,anomaly_one_class,task/anomaly/one_class.py,normal/weak labels,one-class score,COUTA/DeepSVDD/DeepSAD/DevNet,P1,New,weak supervision policy explicit; contamination assumptions documented
T10,anomaly_zero_shot,task/anomaly/zero_shot.py,pretrained detector + series,per-timestep anomaly score,Time-RCD,P2,New optional,no dataset-specific training; threshold policy external
T11,imputation_masked,task/imputation/masked.py,x + observed_mask + indicating_mask,imputation + masked loss,SAITS/BRITS/HELIX/ImputeFormer/MoTM,P1,New,missing pattern generated from train only; observed values preserved
T12,imputation_diffusion,task/imputation/diffusion.py,x + mask + diffusion timestep,samples/imputation distribution,CSDI/PriSTI/TSDiff/SSSD,P2,New optional,sampling budget and seeds explicit
T13,rul_regression,task/regression/rul.py,x + asset/cycle metadata,RUL scalar/distribution,VLT/Foundation encoders/Transformer/CNN,P1,New,asset-level split; RMSE/MAE/s-score explicit
T14,few_shot_prototypical,task/FS/prototypical_network.py,support/query episodes,episode logits/metrics,AET/Medformer/FISHER/VLT/native backbones,P1,Existing,support/query identity disjointness and episode count explicit
T15,domain_generalization,task/DG/classification.py + regularizer hook,source domains only,source objective + held-out-domain metrics,DDDG/FDDG/iTransformer/ModernTCN,P1,Existing base,target labels absent from training/selection
T16,graph_forecasting,task/graph/forecasting.py,x + explicit adjacency/topology,node forecasts/features,STDN/HimNet/DFDGCN/PatchSTG/etc.,P3,New research,graph source explicit; no correlation-inferred fallback
T17,multimodal_phm,task/multimodal/phm.py,time/frequency/image/text streams + masks,task prediction + modality diagnostics,VLT/FISHER/audio encoders,P2,New research,modality missingness and fusion location explicit
T18,generative_signal,task/generative/signal.py,condition + noise + optional context,synthetic signal + validity diagnostics,TimeVQVAE/Diffusion-TS/TSDiff,P3,Existing Pipeline06 base; isolate task contract,synthetic data never enters test; downstream utility and leakage checks
