model,candidate,pr_path,scope_role,source_alignment,task_fit,coupling,g1_g2,decision,blocker
ModernTCN,source:M016,src/model_factory/CNN/ModernTCN.py,S1 strong modern convolution candidate,MISMATCH: workbook PyPOTS; PR cites luodhhh/ModernTCN,existing DG.classification,_native_classification,ROLE_PLAUSIBLE; must compare against existing TCN/ResNet and other S1 candidates,AUDIT_REQUIRED,exact source/ref/license + E2 + representative-role selection
TSLANet,source:M019,src/model_factory/CNN/TSLANet.py,S1 spectral-bias candidate,MISMATCH: workbook PyPOTS; PR cites official TSLANet classification,existing DG.classification,_native_classification,ROLE_PLAUSIBLE; overlaps frequency/periodic S1 candidates,AUDIT_REQUIRED,variant/source identity + E2 + G2
TimesNet,source:M187,src/model_factory/CNN/TimesNet.py,S1 periodic/frequency candidate,SOURCE FAMILY MATCHES THUML; task variant differs from workbook forecasting role,existing DG.classification,_native_classification,ROLE_PLAUSIBLE; candidate for distinct inductive bias,AUDIT_REQUIRED,classification-variant source/fidelity + G2
iTransformer,source:M022,src/model_factory/Transformer/iTransformer.py,S1 variate/channel-attention candidate,MISMATCH: workbook PyPOTS; PR cites THUML,existing DG.classification,_native_classification; imported by PAttn,ROLE_PLAUSIBLE; competes for one S1 modern/distinct role,AUDIT_REQUIRED,source/task identity + E2 + coupling ownership
NLinear,source:M181,src/model_factory/MLP/NLinear.py,S2 simple linear control,MISMATCH: workbook THUML; PR cites cure-lab/LTSF-Linear,requires S2 point_forecasting Task not in dev,_native_forecasting,CLEAR SIMPLE-BASELINE ROLE; not yet approved,PRIORITY_AUDIT,S2 Task prerequisite + exact source/ref/license + E2
SparseTSF,source:M046,src/model_factory/MLP/SparseTSF.py,S2 sparse/periodic lightweight candidate,PR cites lss-1138 direct source; workbook source route must be reconciled,requires S2 Task,_native_forecasting,OVERLAPS linear/frequency candidates; representative choice needed,AUDIT_REQUIRED,G2 + source/ref/license + S2 Task + E2
FITS,source:M030,src/model_factory/MLP/FITS.py,S2 frequency-interpolation candidate,PR cites VEWOXIC/FITS; workbook route differs,requires S2 Task,_native_forecasting; complex parameters,FREQUENCY ROLE PLAUSIBLE; overlaps FreTS/SparseTSF,AUDIT_REQUIRED,PR changes training scope to horizon-only; E2 variant and G2 unresolved
SegRNN,source:M017,src/model_factory/RNN/SegRNN.py,S2 recurrent/segment candidate,PR cites lss-1138 direct source; workbook PyPOTS,requires S2 Task,_native_forecasting,DISTINCT RECURRENT ROLE PLAUSIBLE,AUDIT_REQUIRED,source/ref/license + S2 Task + E2
SOFTS,source:M044,src/model_factory/MLP/SOFTS.py,S2 series-core mixing candidate,PR cites Secilia-Cxy official source; workbook BasicTS,requires S2 Task,_native_forecasting,MODERN ROLE PLAUSIBLE; benefit vs simpler candidates unproven,AUDIT_REQUIRED,source identity + G2 + E2
FreTS,source:M175,src/model_factory/MLP/FreTS.py,S2 frequency-MLP candidate,PR cites aikunyi/FreTS; workbook THUML,requires S2 Task,_native_forecasting,OVERLAPS FITS/SparseTSF frequency role,AUDIT_REQUIRED,G2 representative selection + source/ref + E2
N-HiTS / NHITS,source:M180,src/model_factory/MLP/NHITS.py,S2 hierarchical-interpolation strong baseline candidate,IDENTITY MISMATCH: workbook N-HiTS/BasicTS; PR docstring says Nixtla/neuralforecast,requires S2 Task,_native_forecasting,STRONG BASELINE ROLE PLAUSIBLE,AUDIT_REQUIRED,canonical identity/source implementation must be reconciled before E0/E2
LightTS,source:M178,src/model_factory/MLP/LightTS.py,S2 sampling-oriented older baseline candidate,THUML source family aligns,requires S2 Task,_native_forecasting,G1/G2 UNCLEAR vs simpler and modern representatives,AUDIT_REQUIRED,scientific incremental value + E2
PAttn,source:M038,src/model_factory/Transformer/PAttn.py,S2 patch-attention candidate,THUML source family aligns,requires S2 Task,imports InvertedEncoderLayer from iTransformer model file,ROLE OVERLAPS other attention/patch candidates,DO_NOT_REPLAY_AS_IS,hidden model-to-model dependency + G2 + E2
TimeMixer,source:M021,src/model_factory/MLP/TimeMixer.py,S2 multiscale modern candidate,MISMATCH: workbook PyPOTS; PR cites THUML,requires S2 Task,_native_forecasting,STRONG MODERN ROLE PLAUSIBLE,AUDIT_REQUIRED,source identity + G2 + E2
TSMixer,UNMAPPED,src/model_factory/MLP/TSMixer.py,no frozen role from 187-row source catalogue,Not present in preserved workbook,would require S2 Task,_native_forecasting,FAILS CURRENT G1/G3 RECORD: no candidate disposition/source audit,DO_NOT_SALVAGE,must first create/audit a new candidate only if a scientific coverage gap justifies it
