parameter,config_section,declared_type,default,allowed_values,override_supported,consumer_file,consumer_symbol,runtime_effect,observable_evidence,boundary_cases,test_id,status
--config,CLI,string,null,path or preset name,n/a,main.py,main,selects config_path and takes precedence over --config_path,selected config and downstream resolved config,"missing,nonexistent,invalid YAML,preset alias",PENDING,ACTIVE
--config_path,CLI,string,null,file path,n/a,main.py,main,legacy fallback when --config is absent,args.config_path passed downstream,"both flags set,missing,nonexistent",PENDING,DEPRECATED
--notes,CLI,string,empty,free text,n/a,main.py/main pipeline downstream,main and downstream consumers,parsed into args; final runtime consumption not traced,logs/config snapshot if consumed,"empty,unicode,long text",PENDING,UNKNOWN
--override,CLI,list[string],null,key=value,true,main.py and config loader,main/pipeline config loading,expected to override resolved config,config inspection and runtime logs,"repeat,invalid key,wrong type,list/null/bool",PENDING,UNKNOWN
pipeline,YAML top-level,string,Pipeline_01_default,module name,not via dot override in main.py pipeline pre-read,main.py,main,dynamically imports src.<pipeline>,imported module and pipeline execution,"missing,invalid module,invalid YAML,whitespace",PENDING,ACTIVE
environment,YAML section,mapping,required by maintained config model,schema-defined,true,src/configs and pipelines,config loader/factories,environment/output/seed/project behavior,resolved config and artifacts,"missing,null,unknown keys",PENDING,UNKNOWN
data,YAML section,mapping,required by maintained config model,schema-defined,true,src/data_factory and pipelines,config loader/build_data,data paths/readers/windowing/loaders,resolved config/data loader evidence,"missing,path absent,zero workers,boundary windows",PENDING,UNKNOWN
model,YAML section,mapping,required by maintained config model,registry/config-defined,true,src/model_factory,model_factory/model constructors,model selection and behavior,resolved target/forward trace,"unknown name,wrong shape,dict vs int num_classes",PENDING,UNKNOWN
task,YAML section,mapping,required by maintained config model,registry/config-defined,true,src/task_factory and samplers,task_factory/Get_sampler,loss/metric/batch/sampler semantics,resolved target/loss and sampler trace,"unknown type/name,incompatible model/sampler",PENDING,UNKNOWN
trainer,YAML section,mapping,required by maintained config model,trainer-defined,true,src/trainer_factory,trainer_factory/Default_trainer,device precision callbacks loggers epochs,trainer configuration/logs,"cpu,cuda missing,zero epochs,precision",PENDING,UNKNOWN
