row_type,check,status,critical,evidence,post_hoc,name,arm,seed,split,scope,groups,acquisitions,true_class_support,predicted_class_histogram,confusion_matrix,ce,brier,accuracy,macro_f1,entropy,mean_probability,protocol_verdict
protocol_check,class_order_and_identity_label_map,pass,True,configs/data.yaml; F1; original labels 0/1/2 unchanged,True,,,,,,,,,,,,,,,,,
protocol_check,observation_and_sample_rate,pass,True,"data configs: LC, squeeze axis2, vibration channel2, two start/end 8192 windows, 64000Hz",True,,,,,,,,,,,,,,,,,
protocol_check,reference_preprocessing,pass,True,reference model_config; input_binding.md: no resampling or added normalization,True,,,,,,,,,,,,,,,,,
protocol_check,reference_training_temperature,pass,True,reference/command.json; reference_temperature=1.0,True,,,,,,,,,,,,,,,,,
protocol_check,frozen_export_revision,pass,True,F1 recorded implementation; state_dict guards and strict restore inspected at this exact revision,True,,,,,,,,,,,,,,,,,
protocol_check,validation/raw_reference/class_and_recipe,pass,True,frozen/source_validation/raw_reference.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/raw_reference/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_42/class_and_recipe,pass,True,frozen/source_validation/MLP16_seed_42.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_42/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_123/class_and_recipe,pass,True,frozen/source_validation/MLP16_seed_123.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_123/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_456/class_and_recipe,pass,True,frozen/source_validation/MLP16_seed_456.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_456/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_42/class_and_recipe,pass,True,frozen/source_validation/O_seed_42.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_42/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_123/class_and_recipe,pass,True,frozen/source_validation/O_seed_123.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_123/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_456/class_and_recipe,pass,True,frozen/source_validation/O_seed_456.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_456/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_42/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_123/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,validation/MLP16_seed_456/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_42/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_123/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,validation/O_seed_456/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,test/raw_reference/class_and_recipe,pass,True,frozen/test/raw_reference.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/raw_reference/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_42/class_and_recipe,pass,True,frozen/test/MLP16_seed_42.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_42/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_123/class_and_recipe,pass,True,frozen/test/MLP16_seed_123.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_123/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_456/class_and_recipe,pass,True,frozen/test/MLP16_seed_456.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_456/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/O_seed_42/class_and_recipe,pass,True,frozen/test/O_seed_42.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/O_seed_42/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/O_seed_123/class_and_recipe,pass,True,frozen/test/O_seed_123.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/O_seed_123/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/O_seed_456/class_and_recipe,pass,True,frozen/test/O_seed_456.npz; unchanged F1 plan/class space,True,,,,,,,,,,,,,,,,,
protocol_check,test/O_seed_456/checkpoint_role,pass,True,F1/F2 descriptor and saved checkpoint role; no checkpoint opened,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_42/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_123/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
protocol_check,test/MLP16_seed_456/raw_identity,pass,True,Exact identity-aligned raw vectors across all MLP16/O seeds,True,,,,,,,,,,,,,,,,,
