path,cls,owner,future_pr,deps,decision,reason
.github/workflows/native-model-tests.yml,D4 TEST_CONFIG_DOC,AGGREGATE_CI,NOT_CREATED,all PR266 model/test paths,DISCARD_AGGREGATE_REBUILD_PER_OWNER,One workflow couples unrelated candidates and Tasks; future bounded PRs attach only affected focused checks.
configs/experiments/model_integration/fits_dummy.yaml,D4 TEST_CONFIG_DOC,source:M030,NOT_CREATED,source:M030; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/frets_dummy.yaml,D4 TEST_CONFIG_DOC,source:M175,NOT_CREATED,source:M175; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/itransformer_dummy.yaml,D4 TEST_CONFIG_DOC,source:M022,NOT_CREATED,source:M022; existing DG.classification,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/lightts_dummy.yaml,D4 TEST_CONFIG_DOC,source:M178,NOT_CREATED,source:M178; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/moderntcn_dummy.yaml,D4 TEST_CONFIG_DOC,source:M016,NOT_CREATED,source:M016; existing DG.classification,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/nhits_dummy.yaml,D4 TEST_CONFIG_DOC,source:M180,NOT_CREATED,source:M180; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/nlinear_dummy.yaml,D4 TEST_CONFIG_DOC,source:M181,NOT_CREATED,source:M181; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/pattn_dummy.yaml,D4 TEST_CONFIG_DOC,source:M038,NOT_CREATED,source:M038; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/segrnn_dummy.yaml,D4 TEST_CONFIG_DOC,source:M017,NOT_CREATED,source:M017; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/softs_dummy.yaml,D4 TEST_CONFIG_DOC,source:M044,NOT_CREATED,source:M044; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/sparsetsf_dummy.yaml,D4 TEST_CONFIG_DOC,source:M046,NOT_CREATED,source:M046; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
configs/experiments/model_integration/timemixer_dummy.yaml,D4 TEST_CONFIG_DOC,source:M021,NOT_CREATED,source:M021; S2_TASK_POINT_FORECASTING,CONDITIONAL_REPLAY_AFTER_GATE,Config is meaningful only with an adopted candidate and its verified Task contract.
